body_type,daysonmarket,fuel_type,has_accidents,highway_fuel_economy,horsepower,is_new,make_name,mileage,price,seller_rating,year
SUV / Crossover,522,Gasoline,,26.0,177.0,True,Jeep,7.0,23141.0,2.8,2019
SUV / Crossover,207,Gasoline,,26.0,246.0,True,Land Rover,8.0,46500.0,3.0,2020
Sedan,1233,Gasoline,False,23.0,305.0,False,Subaru,47846.74954561977,46995.0,3.7939419604529436,2016
SUV / Crossover,196,Gasoline,,26.0,340.0,True,Land Rover,11.0,67430.0,3.0,2020
SUV / Crossover,137,Gasoline,,26.0,246.0,True,Land Rover,7.0,48880.0,3.0,2020
SUV / Crossover,242,Gasoline,False,26.0,247.0,True,Land Rover,12.0,66903.0,3.0,2020
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,14.0,23695.0,2.8,2019
SUV / Crossover,70,Gasoline,,26.0,247.0,True,Land Rover,11.0,68520.0,3.0,2020
SUV / Crossover,196,Gasoline,,26.0,246.0,True,Land Rover,8.0,51245.0,3.0,2020
SUV / Crossover,510,Gasoline,False,26.0,296.0,False,Land Rover,254.0,84399.0,3.0,2020
Coupe,1252,Gasoline,False,27.0,237.0,False,Alfa Romeo,301.0,97579.0,3.7939419604529436,2015
SUV / Crossover,179,Gasoline,,26.0,246.0,True,Land Rover,22.0,51885.0,3.0,2020
Sedan,1233,Gasoline,False,33.0,320.0,False,BMW,6903.0,58995.0,3.7939419604529436,2016
SUV / Crossover,201,Gasoline,,26.0,247.0,True,Land Rover,20.0,68725.0,3.0,2020
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,204.0,23695.0,2.8,2019
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,61.0,23695.0,2.8,2019
SUV / Crossover,187,Gasoline,,26.0,246.0,True,Land Rover,6.0,52275.0,3.0,2020
SUV / Crossover,20,Gasoline,,26.0,247.0,True,Land Rover,7.0,68760.0,3.0,2020
SUV / Crossover,13,Gasoline,,26.0,247.0,True,Land Rover,5.0,68760.0,3.0,2020
SUV / Crossover,230,Gasoline,,26.0,246.0,True,Land Rover,8.0,53770.0,3.0,2020
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,17.0,23695.0,2.8,2019
Sedan,438,Gasoline,,33.0,186.0,True,Mazda,12.0,23695.0,2.8,2019
SUV / Crossover,70,Gasoline,,26.0,246.0,True,Land Rover,8.0,54500.0,3.0,2020
SUV / Crossover,324,Gasoline,False,26.0,246.0,False,Land Rover,47846.74954561977,68899.0,3.0,2020
SUV / Crossover,187,Gasoline,,26.0,340.0,True,Land Rover,6.0,68905.0,3.0,2020
SUV / Crossover,25,Gasoline,,26.0,246.0,True,Land Rover,7.0,54515.0,3.0,2020
SUV / Crossover,529,Gasoline,,26.0,148.0,True,Mazda,10.0,24245.0,2.8,2019
SUV / Crossover,522,Gasoline,,26.0,177.0,True,Jeep,20.0,27587.0,2.8,2019
SUV / Crossover,70,Gasoline,,26.0,246.0,True,Land Rover,11.0,54540.0,3.0,2020
SUV / Crossover,196,Diesel,,26.0,254.0,True,Land Rover,13.0,68950.0,3.0,2020
SUV / Crossover,70,Gasoline,,26.0,247.0,True,Land Rover,10.0,69040.0,3.0,2020
SUV / Crossover,529,Gasoline,,26.0,187.0,True,Mazda,569.0,28345.0,2.8,2019
SUV / Crossover,137,Gasoline,,26.0,246.0,True,Land Rover,7.0,55525.0,3.0,2020
SUV / Crossover,522,Gasoline,,26.0,177.0,True,Jeep,7.0,27587.0,2.8,2019
SUV / Crossover,70,Gasoline,,26.0,340.0,True,Land Rover,13.0,69095.0,3.0,2020
SUV / Crossover,230,Gasoline,,26.0,246.0,True,Land Rover,110.0,55750.0,3.0,2020
Sedan,33,Gasoline,False,33.0,201.0,False,Hyundai,30707.0,13324.0,3.4477611940298507,2017
SUV / Crossover,324,Gasoline,,26.0,340.0,True,Land Rover,88.0,70742.0,3.0,2020
Sedan,55,Gasoline,False,36.0,160.0,False,Chevrolet,42394.0,14639.0,3.4477611940298507,2018
SUV / Crossover,201,Gasoline,,26.0,246.0,True,Land Rover,20.0,55925.0,3.0,2020
